SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100120643,10006418,10009921,17,17
100120644,10006418,10010397,12,12
100120645,10006418,10010572,45,45
100120647,10006418,10010998,59,59
100120648,10006418,10010999,17,17
100120650,10006418,10011212,51,51
100120652,10006418,10011671,28,28
100120653,10006418,10012250,30,30
100120656,10006418,10012656,42,42
100120658,10006418,10012925,98,98
100120660,10006418,10013020,34,34
100120665,10006419,10010723,33,33
100120666,10006419,10010724,25,25
100120668,10006419,10012250,23,23
100120670,10006419,10012757,62,62
100120671,10006419,10013021,23,23
100120673,10006420,10006893,46,46
100120674,10006420,10007918,30,30
100120676,10006420,10008702,49,49
100120677,10006420,10010150,50,50
100120679,10006420,10010805,21,21
100120681,10006420,10011321,46,46
100120682,10006420,10011790,49,49
100120687,10006421,10006483,55,55
100120688,10006421,10006484,49,49
100120689,10006421,10007336,56,56
100120690,10006421,10008048,22,22
100120691,10006421,10008177,73,73
100120692,10006421,10008300,51,51
100120693,10006421,10008364,50,50
100120695,10006421,10009777,44,44
100120696,10006421,10009872,23,23
100120698,10006421,10011670,76,76
100120699,10006421,10011671,28,28
100120701,10006421,10012447,45,45
100120702,10006421,10012460,27,27
100120704,10006421,10012464,19,19
100120706,10006421,10013300,56,56
100120708,10006422,10006445,12,12
100120709,10006422,10006718,14,14
100120710,10006422,10006719,49,49
100120712,10006422,10008078,16,16
100120713,10006422,10008260,47,47
100120723,10006422,10011671,37,37
100123452,10006601,10007017,33,33
